Fecha,Producto bruto interno y demanda interna (índice 2007 = 100) - PBI,Bolsa de Valores de Lima - Montos Negociados en Bolsa (millones S/),Bolsa de Valores de Lima - Índices Bursátiles - Índice General BVL (base 31/12/91 = 100),Bolsa de Valores de Lima - Índices Bursátiles - Índice Selectivo BVL (base 31/12/91 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Financial (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Industrial (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Mining (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Services (base 30/10/98 = 100)
Feb20,161.9819212,1294.857,18264.3,23661.23,1059.27,200.96,247.58,642.19
Mar20,137.7073574,5052.903,14463.96,18199.4,832.43,143.66,187.82,564.83
Abr20,102.9801444,794.96,14779.28,18159.49,894.29,129.83,200.29,559.52
May20,118.0632953,1180.234,15580.85,19517.77,842.62,155.1,221.95,590.01
Jun20,139.4092327,1239.378,16878,21334.19,854.83,176.29,255.03,600.95
Jul20,153.9663795,1197.779,17512.53,21939.33,810.55,179.23,293.28,609.68
Ago20,156.6902822,1416.16,18576.89,23008.23,824.93,179.63,334.92,607.2
Sep20,162.0957584,1522.593,17948.78,22409.39,801.98,177.68,307.54,631.56
Oct20,170.3073335,1171.893,17472.2,21634.47,739.95,167.7,331.8,609.91
Nov20,170.2513795,1512.350231,19796.51,24111.97,993.53,186.57,357.7,617.14
Dic20,191.141901,1833.731355,20822.15,25198.62,1033.91,190.56,389.95,614.1
Ene21,161.0390205,1691.434,21110.22,27025.42,988.46,210.61,386.5,659.64
Feb21,155.7522246,3496.282,22530.22,29436.86,1056.75,218.2,427.42,637.92
Mar21,165.0158824,1851.476,21372.03,28797.92,935.95,220.3,414.94,658.9
Abr21,164.6025638,1980.047,19562.77,26034.35,826.33,191.61,418.05,540.82
May21,175.3785839,2041.092454,21041.71,26918.65,950.68,188.45,441.59,551.05
Jun21,171.9833699,1525.913248,18850.91,24793.11,844.61,187.05,387.42,527.16
Jul21,174.3506932,1363.513326,17671.77,22977.78,745.31,180.24,392.24,512.9
Ago21,175.3836578,1209.018383,17653.54,23568.9,790.5,188.35,384.91,463.86
Sep21,178.2363469,2042.657391,18279.15,24864.85,839.76,196.53,360.5,512.25
Oct21,178.3313966,1500.075277,20737.77,28795.53,951.03,230.87,390,566.08
Nov21,176.5273398,1582.311734,20416.43,28915.99,880.37,238.05,395.88,577.92
Dic21,194.9368792,1519.301493,21111.73,30273.91,906.1,258.07,411.6,548.5
